,commune,n_edges,n_vertices,is_commune_littorale,n_g1,n_g2,n_g3,n_g4,n_g5,n_g6,n_g7,n_g8,n_g9,n_g10,n_g11,n_g12,n_g13,n_g14,n_g15,n_g16,n_g17,n_g18,n_g19,n_g20,n_g21,n_g22,n_g23,n_g24,n_g25,n_g26,n_g27,n_g28,n_g29
38,Grenoble,2633,1720,0,-1.862874483018292,-0.6213658172309895,-0.12263438932194767,-2.109690635999953,-0.05729625979145375,1.682713876332516,0.9102690357780191,-0.1428481556197366,1.522472310723161,0.7500790768003154,0.7490787892398806,2.116197664152601,0.6294563199319282,-0.06096839224699338,1.6099053418398233,1.7130094854524134,1.0991641206822076,0.6919280328824109,1.7330975143021803,-0.2548319639711195,1.6104771893944885,-0.11413951279927302,0.0,1.3579058985748873,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
39,Lons-le-Saunier,870,637,0,1.017221731380075,1.691620585131789,-1.812379556558377,0.6542827846898199,1.9424542603428605,1.3204136723503965,0.12686683750589792,-0.1428481556197366,-1.7366552269054705,-2.2504936924057817,-0.8882877248714628,0.7913493895824435,1.8938709003174456,1.5326135855660723,-0.10196740299106259,-1.3650060088319367,0.5059809619800743,-0.3329049245902859,0.8880604278750208,-0.2548319639711195,3.6726206903032024,-0.11413951279927302,0.0,0.6673152684397999,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
40,Mont-de-Marsan,2486,1910,1,0.9737549275286248,1.10773454649474,0.057568087782815906,0.7424952705371414,0.8126842590025632,-0.8364116813591752,1.4674216800815516,-0.1428481556197366,-0.3965185249052925,-0.6419857146527513,-1.2427864885287068,-0.9009584737223224,0.4248235217789208,0.8643226268120544,-0.8715620805912591,-1.1140102266302092,1.0359855839584642,0.8822152294191299,-0.9769102871894988,3.8038643145909603,-0.3918265418594457,-0.11413951279927302,0.0,1.214008507390432,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
41,Blois,2151,1583,0,0.18717558303445023,0.5932077397671088,-0.93375569958798,0.5205517657819861,0.4214623339792439,-1.7494364806832547,0.5616255023238407,-0.1428481556197366,-0.4749247767478524,-0.2863573487462354,0.19879005225734414,-0.48008037799003433,0.23773674232139275,0.522004057936746,-1.215106211616665,0.19424089582147944,0.7474648339195773,0.5669570306665405,0.1771488449093187,-0.2548319639711195,-1.0890323705900982,-0.11413951279927302,0.0,0.33169644038347607,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
42,Saint-Étienne,4227,3041,0,-0.8878050064401523,-0.3424553449746357,0.19037323651441498,-1.0460196948038878,-0.13617146425016524,-0.053624718225724455,0.9155807963433552,-0.1428481556197366,0.8895505429597972,0.7430840811400969,0.35176174773769225,0.8646446630565264,0.0949296879242381,-0.08768194811919197,0.21744445067109744,0.5925419271934436,1.1362433589651884,0.8292181930577843,0.4460223961916005,-0.2548319639711195,-0.06232990239052453,-0.11413951279927302,0.0,0.8362279981606038,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
43,Le Puy-en-Velay,1134,869,0,0.4329381107798256,0.09065907637755473,0.5588555106066568,0.33117342688875784,0.052946515128281565,-0.4340064606327816,2.139142287423203,-0.1428481556197366,-0.13367312829532513,-0.05328779800071875,-0.7925038429331531,0.06102474518251235,-0.04472569897594248,0.02449852264265457,-0.29250524680884604,0.3180609530327675,2.1979310203625646,2.343602547200865,-0.02733403727155193,-0.2548319639711195,0.4351132220001851,-0.11413951279927302,0.0,1.2402713889958006,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
44,Nantes,9141,6763,1,-0.0056250770951470274,-0.8628874927382376,0.6572388000561387,0.2950014951067958,-0.9577755470163363,-0.04142220820866242,-0.6636791311592218,-0.1428481556197366,-0.22260409479502222,0.5268121422109585,0.6090964401050707,-0.7662288044793345,-0.9910147528127823,-0.9127201964703979,-0.03551209007938211,0.7043425620954232,-0.5211223179873423,-0.6535067054723901,-0.8151637192203213,-0.2548319639711195,-0.9493168165343007,-0.11413951279927302,0.0,-0.44614679468622526,0.5592329959929616,0.0,-0.2130094245913811,0.0,0.0
45,Orléans,3247,2290,0,-1.1852509839857146,-1.0084448873940222,0.4526465949771347,-1.2354897521155885,-0.9282684105801766,0.9591359406293755,0.11865350030609582,-0.1428481556197366,1.012768466155263,0.9894630542788628,1.1525251279615751,0.6328162339074086,-0.8076022305207416,-0.8522656329833004,1.1840108948664312,0.574695633551198,0.4967750457873231,0.2573718266782774,-0.023872966709993792,-0.2548319639711195,-0.10526337371302265,-0.11413951279927302,0.0,0.13010459160168264,-0.27152836438893174,0.0,3.5654089502395165,0.0,0.0
46,Cahors,1279,984,0,0.8422204259136897,0.2684817526152277,0.4899327245801803,0.6548429310010679,-0.01303774446590569,0.46130844245253155,0.7007790729029293,-0.1428481556197366,-0.48744084970100204,-0.3245647306093835,-0.6284541984052694,-1.242683810730141,-0.43773198934101937,-0.2252344641684058,0.06540236732010814,-1.0088123555256205,0.10360128641740238,0.5708246084290545,-0.6251826258495886,-0.2548319639711195,0.48424550515150633,-0.11413951279927302,0.0,0.21812530622535609,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
47,Agen,1659,1164,0,-0.7103046620578904,0.16671394903729897,-1.0369257425070606,-0.628887717139189,0.4134853644553913,-0.16726861580668345,-0.39149807045270013,-0.1428481556197366,0.2453307545580299,-0.10993840058493658,0.6065592259113135,0.7641844074419433,0.7788370785084798,0.5939872023480202,-0.15289878750870853,0.976828760114844,-0.13062193023974447,-0.31358180985144096,1.018915169947145,-0.2548319639711195,0.5656272648608432,-0.11413951279927302,0.0,-0.6663669175510756,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
48,Mende,1022,800,0,1.7166739361530485,1.7067574856348617,-0.8943212650064971,1.5241500642701216,1.7055471080322362,-1.765842682052636,1.663345000603659,-0.1428481556197366,-1.9250694019476022,-1.313530328828951,-1.933290375809803,-0.543664474492734,1.4655620343774447,1.1563760192553532,-2.1054921719373607,0.08129123608815594,1.4895391434439056,1.926357440037464,0.7452208143341487,5.139293475876587,2.3280613536056376,-0.11413951279927302,0.0,0.5831699065907516,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
49,Angers,5121,3684,0,-0.8106111304138074,-0.8859578493823975,0.3634065427060252,-0.7323800180050296,-0.6643462003814439,-0.20383415235747518,-0.6911731689972348,-0.1428481556197366,0.715264054746017,0.8754530875897258,0.7991109959626244,0.8086313468761948,-0.2611066016910295,-0.5037714071131335,0.08605455449122038,0.29112667287643684,-0.4636165659973869,-0.5463966041800662,0.2888074123764656,-0.2548319639711195,-0.5469661894510764,-0.11413951279927302,0.0,-0.3097602497135638,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
